Order ID,AWB Code,Customer Pincode,Type of Shipment,Forward Charges Applicable,RTO Charges Applicable,Total weight as per X (KG),Weight slab as per X (KG),Delivery Zone as per X,Forward Fixed  Charges (X),Forward Additional Charges (X),RTO Fixed  Charges (X),RTO Additional Charges (X),Expected Charge as per X (Rs.),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone charged by Courier Company,Charges Billed by Courier Company (Rs.) ,Difference Between Expected Charges and Billed Charges (Rs.),Discount Applied (%),Net Forward Charges (Rs.),Net RTO Charges (Rs.)
2001808675,1091117437050,226010,Forward charges,Yes,0,1.183,1.5,b,33.0,56.6,0,0,89.6,1.2,1.5,b,89.6,0.0,0.0%,89.6,0
2001807976,1091117327496,400705,Forward and RTO charges,Yes,1,0.721,1,d,45.4,44.8,41.3,44.8,176.3,0.7,1,d,172.8,3.5,2.0%,90.2,86.1
2001812838,1091118547832,262405,Forward and RTO charges,Yes,1,0.558,1,b,33.0,28.3,20.5,28.3,110.1,0.6,1,b,102.3,7.8,7.1%,61.3,48.8
2001816684,1091119398844,394210,Forward and RTO charges,Yes,1,0.92,1,d,45.4,44.8,41.3,44.8,176.3,0.99,1,d,172.8,3.5,2.0%,90.2,86.1
2001817160,1091119630264,411014,Forward and RTO charges,Yes,1,0.7,1,d,45.4,44.8,41.3,44.8,176.3,0.7,1,d,172.8,3.5,2.0%,90.2,86.1
2001818390,1091120014461,783301,Forward and RTO charges,Yes,1,0.841,1,e,56.6,55.5,50.7,55.5,218.3,0.8,1,e,213.5,4.8,2.2%,112.1,106.2
2001821190,1091120959015,486661,Forward and RTO charges,Yes,1,1.2,1.5,d,45.4,89.6,41.3,89.6,265.9,1.2,1.5,d,258.9,7,2.6%,135,130.9
2001817093,1091121485824,244001,Forward and RTO charges,Yes,1,1.357,1.5,b,33.0,56.6,20.5,56.6,166.7,1.3,1.5,b,151.1,15.6,9.4%,89.6,77.1
2001823564,1091121666133,492001,Forward and RTO charges,Yes,1,0.672,1,d,45.4,44.8,41.3,44.8,176.3,0.7,1,d,172.8,3.5,2.0%,90.2,86.1
2001825261,1091121981575,517128,Forward and RTO charges,Yes,1,1.557,2,d,45.4,134.4,41.3,134.4,355.5,1.6,2,d,345,10.5,3.0%,179.8,175.7
2001811192,1091117957780,562110,Forward and RTO charges,Yes,1,1.032,1.5,d,45.4,89.6,41.3,89.6,265.9,1.13,1.5,d,258.9,7,2.6%,135,130.9
2001809917,1091121482593,831006,Forward and RTO charges,Yes,1,0.63,1,d,45.4,44.8,41.3,44.8,176.3,0.6,1,d,172.8,3.5,2.0%,90.2,86.1
2001806210,1091117221940,140604,Forward charges,Yes,0,0.22,0.5,b,33.0,0,0,0,33.0,2.92,3,b,174.5,-141.5,-428.8%,33.0,0
2001806226,1091117222065,723146,Forward charges,Yes,0,0.48,0.5,d,45.4,0,0,0,45.4,0.68,1,d,90.2,-44.8,-98.7%,45.4,0
2001806229,1091117222080,421204,Forward charges,Yes,0,0.5,0.5,d,45.4,0,0,0,45.4,0.71,1,d,90.2,-44.8,-98.7%,45.4,0
2001806233,1091117222135,263139,Forward charges,Yes,0,0.245,0.5,b,33.0,0,0,0,33.0,0.78,1,b,61.3,-28.3,-85.8%,33.0,0
2001806251,1091117222146,743263,Forward charges,Yes,0,0.245,0.5,d,45.4,0,0,0,45.4,1.27,1.5,d,135,-89.6,-197.4%,45.4,0
2001806338,1091117222570,392150,Forward charges,Yes,0,0.5,0.5,d,45.4,0,0,0,45.4,0.7,1,d,90.2,-44.8,-98.7%,45.4,0
2001806446,1091117223211,382830,Forward charges,Yes,0,0.5,0.5,d,45.4,0,0,0,45.4,0.69,1,d,90.2,-44.8,-98.7%,45.4,0
2001806533,1091117224353,711303,Forward charges,Yes,0,0.5,0.5,d,45.4,0,0,0,45.4,0.68,1,d,90.2,-44.8,-98.7%,45.4,0
2001806547,1091117224611,283102,Forward charges,Yes,0,0.127,0.5,b,33.0,0,0,0,33.0,1,1.5,b,61.3,-28.3,-85.8%,33.0,0
2001806567,1091117224902,370201,Forward charges,Yes,0,0.952,1,d,45.4,44.8,0,0,90.2,1.16,1.5,d,135,-44.8,-49.7%,90.2,0
2001806575,1091117225016,248001,Forward charges,Yes,0,0.5,0.5,b,33.0,0,0,0,33.0,0.68,1,b,61.3,-28.3,-85.8%,33.0,0
2001806616,1091117225484,144001,Forward charges,Yes,0,0.963,1,b,33.0,28.3,0,0,61.3,1.08,1.5,b,89.6,-28.3,-46.2%,61.3,0
2001806652,1091117226221,403401,Forward charges,Yes,0,0.5,0.5,d,45.4,0,0,0,45.4,0.69,1,d,90.2,-44.8,-98.7%,45.4,0
2001806733,1091117226674,452001,Forward charges,Yes,0,0.967,1,d,45.4,44.8,0,0,90.2,1.13,1.5,d,135,-44.8,-49.7%,90.2,0
2001806735,1091117226711,721636,Forward charges,Yes,0,0.5,0.5,d,45.4,0,0,0,45.4,0.69,1,d,90.2,-44.8,-98.7%,45.4,0
2001806726,1091117226910,831002,Forward charges,Yes,0,0.5,0.5,d,45.4,0,0,0,45.4,0.68,1,d,90.2,-44.8,-98.7%,45.4,0
